! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
55.000000	2.39765   	55.000000	2.85409   	55.000000	2.83561   	55.000000	2.85503   	55.000000	2.84231   	55.000000	2.85308   	55.000000	0.00100772	
60.000000	2.24274   	60.000000	2.66692   	60.000000	2.65115   	60.000000	2.66506   	60.000000	2.656     	60.000000	2.66599   	60.000000	0.000930999	
65.000000	2.1096    	65.000000	2.50614   	65.000000	2.49273   	65.000000	2.50228   	65.000000	2.49623   	65.000000	2.50527   	65.000000	0.000865547	
70.000000	1.99385   	70.000000	2.36652   	70.000000	2.35504   	70.000000	2.3612    	70.000000	2.35765   	70.000000	2.36572   	70.000000	0.000809021	
75.000000	1.89224   	75.000000	2.24413   	75.000000	2.23447   	75.000000	2.23773   	75.000000	2.23625   	75.000000	2.24337   	75.000000	0.000759691	
80.000000	1.80229   	80.000000	2.13595   	80.000000	2.12768   	80.000000	2.12875   	80.000000	2.12901   	80.000000	2.13523   	80.000000	0.000716248	
85.000000	1.72205   	85.000000	2.03963   	85.000000	2.03237   	85.000000	2.03183   	85.000000	2.03352   	85.000000	2.03895   	85.000000	0.000677686	
90.000000	1.65      	90.000000	1.9533    	90.000000	1.94722   	90.000000	1.94505   	90.000000	1.94794   	90.000000	1.95266   	90.000000	0.000643215	
95.000000	1.58493   	95.000000	1.87549   	95.000000	1.87026   	95.000000	1.86691   	95.000000	1.87083   	95.000000	1.87488   	95.000000	0.000612211	
100.000000	1.52584   	100.000000	1.80499   	100.000000	1.80035   	100.000000	1.79615   	100.000000	1.80095   	100.000000	1.8044    	100.000000	0.000584167	
105.000000	1.47194   	105.000000	1.7408    	105.000000	1.73692   	105.000000	1.73178   	105.000000	1.73731   	105.000000	1.74024   	105.000000	0.000558676	
110.000000	1.42255   	110.000000	1.68211   	110.000000	1.67879   	110.000000	1.67296   	110.000000	1.67915   	110.000000	1.68158   	110.000000	0.000535398	
115.000000	1.37711   	115.000000	1.62824   	115.000000	1.62541   	115.000000	1.61901   	115.000000	1.62572   	115.000000	1.62773   	115.000000	0.000514055	
120.000000	1.33516   	120.000000	1.57862   	120.000000	1.57625   	120.000000	1.56933   	120.000000	1.57652   	120.000000	1.57813   	120.000000	0.000494411	
125.000000	1.29631   	125.000000	1.53276   	125.000000	1.53084   	125.000000	1.52344   	125.000000	1.53103   	125.000000	1.53228   	125.000000	0.000476269	
130.000000	1.26021   	130.000000	1.49024   	130.000000	1.48874   	130.000000	1.48092   	130.000000	1.48887   	130.000000	1.48978   	130.000000	0.000459461	
135.000000	1.22658   	135.000000	1.45071   	135.000000	1.44948   	135.000000	1.44141   	135.000000	1.44965   	135.000000	1.45027   	135.000000	0.000443843	
140.000000	1.19516   	140.000000	1.41387   	140.000000	1.41297   	140.000000	1.4046    	140.000000	1.41312   	140.000000	1.41344   	140.000000	0.000429292	
145.000000	1.16574   	145.000000	1.37945   	145.000000	1.3789    	145.000000	1.37022   	145.000000	1.37895   	145.000000	1.37903   	145.000000	0.0004157 	
