! 30S energy loss (dE/dX) in He
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
130.000000	1.63828e-05	130.000000	1.93731e-05	130.000000	1.93536e-05	130.000000	1.92519e-05	130.000000	1.93553e-05	130.000000	1.93671e-05	130.000000	5.97299e-09	
135.000000	1.59455e-05	135.000000	1.88593e-05	135.000000	1.88432e-05	135.000000	1.87383e-05	135.000000	1.88454e-05	135.000000	1.88535e-05	135.000000	5.76996e-09	
140.000000	1.55371e-05	140.000000	1.83803e-05	140.000000	1.83686e-05	140.000000	1.82598e-05	140.000000	1.83705e-05	140.000000	1.83747e-05	140.000000	5.5808e-09	
145.000000	1.51546e-05	145.000000	1.79328e-05	145.000000	1.79257e-05	145.000000	1.78128e-05	145.000000	1.79264e-05	145.000000	1.79274e-05	145.000000	5.4041e-09	
150.000000	1.47956e-05	150.000000	1.75138e-05	150.000000	1.75098e-05	150.000000	1.73945e-05	150.000000	1.75107e-05	150.000000	1.75085e-05	150.000000	5.23867e-09	
155.000000	1.42892e-05	155.000000	1.71205e-05	155.000000	1.71194e-05	155.000000	1.70021e-05	155.000000	1.71205e-05	155.000000	1.71154e-05	155.000000	5.08345e-09	
160.000000	1.39928e-05	160.000000	1.67507e-05	160.000000	1.67526e-05	160.000000	1.66333e-05	160.000000	1.67536e-05	160.000000	1.67458e-05	160.000000	4.9375e-09	
165.000000	1.37132e-05	165.000000	1.64024e-05	165.000000	1.64071e-05	165.000000	1.6286e-05	165.000000	1.64081e-05	165.000000	1.63976e-05	165.000000	4.80001e-09	
170.000000	1.34489e-05	170.000000	1.60737e-05	170.000000	1.60811e-05	170.000000	1.59584e-05	170.000000	1.60819e-05	170.000000	1.6069e-05	170.000000	4.67026e-09	
175.000000	1.31989e-05	175.000000	1.5763e-05	175.000000	1.57731e-05	175.000000	1.56488e-05	175.000000	1.57737e-05	175.000000	1.57584e-05	175.000000	4.54761e-09	
180.000000	1.29618e-05	180.000000	1.54688e-05	180.000000	1.54815e-05	180.000000	1.53559e-05	180.000000	1.54819e-05	180.000000	1.54644e-05	180.000000	4.43147e-09	
185.000000	1.27368e-05	185.000000	1.51899e-05	185.000000	1.52053e-05	185.000000	1.50783e-05	185.000000	1.52052e-05	185.000000	1.51856e-05	185.000000	4.32133e-09	
190.000000	1.25229e-05	190.000000	1.49251e-05	190.000000	1.49431e-05	190.000000	1.48149e-05	190.000000	1.49427e-05	190.000000	1.49209e-05	190.000000	4.21675e-09	
195.000000	1.23192e-05	195.000000	1.46734e-05	195.000000	1.46933e-05	195.000000	1.45646e-05	195.000000	1.46931e-05	195.000000	1.46693e-05	195.000000	4.11729e-09	
200.000000	1.21252e-05	200.000000	1.44338e-05	200.000000	1.44552e-05	200.000000	1.43264e-05	200.000000	1.44555e-05	200.000000	1.44298e-05	200.000000	4.0226e-09	
210.000000	1.17632e-05	210.000000	1.39877e-05	210.000000	1.40135e-05	210.000000	1.38832e-05	210.000000	1.40134e-05	210.000000	1.39839e-05	210.000000	3.84616e-09	
220.000000	1.14322e-05	220.000000	1.35808e-05	220.000000	1.36099e-05	220.000000	1.34794e-05	220.000000	1.361e-05 	220.000000	1.35771e-05	220.000000	3.6851e-09	
230.000000	1.11285e-05	230.000000	1.32082e-05	230.000000	1.3241e-05	230.000000	1.31098e-05	230.000000	1.3241e-05	230.000000	1.32046e-05	230.000000	3.53745e-09	
240.000000	1.08486e-05	240.000000	1.28657e-05	240.000000	1.29022e-05	240.000000	1.27705e-05	240.000000	1.29019e-05	240.000000	1.28623e-05	240.000000	3.4016e-09	
250.000000	1.059e-05 	250.000000	1.25498e-05	250.000000	1.25895e-05	250.000000	1.24579e-05	250.000000	1.25894e-05	250.000000	1.25466e-05	250.000000	3.27616e-09	
260.000000	1.03503e-05	260.000000	1.22577e-05	260.000000	1.23003e-05	260.000000	1.21689e-05	260.000000	1.23004e-05	260.000000	1.22545e-05	260.000000	3.15997e-09	
270.000000	1.01275e-05	270.000000	1.19867e-05	270.000000	1.20323e-05	270.000000	1.19012e-05	270.000000	1.20326e-05	270.000000	1.19836e-05	270.000000	3.05203e-09	
280.000000	9.91977e-06	280.000000	1.17346e-05	280.000000	1.17833e-05	280.000000	1.16524e-05	280.000000	1.17835e-05	280.000000	1.17317e-05	280.000000	2.95148e-09	
290.000000	9.72575e-06	290.000000	1.14996e-05	290.000000	1.15512e-05	290.000000	1.14206e-05	290.000000	1.15516e-05	290.000000	1.14968e-05	290.000000	2.85758e-09	
300.000000	9.54411e-06	300.000000	1.128e-05 	300.000000	1.13346e-05	300.000000	1.12042e-05	300.000000	1.13348e-05	300.000000	1.12773e-05	300.000000	2.76968e-09	
310.000000	9.37369e-06	310.000000	1.10744e-05	310.000000	1.11319e-05	310.000000	1.10018e-05	310.000000	1.11321e-05	310.000000	1.10717e-05	310.000000	2.68721e-09	
320.000000	9.2135e-06	320.000000	1.08815e-05	320.000000	1.09418e-05	320.000000	1.0812e-05	320.000000	1.0942e-05	320.000000	1.08789e-05	320.000000	2.60969e-09	
330.000000	9.06265e-06	330.000000	1.07001e-05	330.000000	1.07633e-05	330.000000	1.06339e-05	330.000000	1.07634e-05	330.000000	1.06976e-05	330.000000	2.53668e-09	
